hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
extramarital sex,love,lovemaking,sex activity,sexual love,bodily function,sexual activity,vaginal sex,sexual act,sexual relations,sexual intercourse,human sexual activity,sexual practice,sexual penetration,intercourse,dicking
leopard cat,mammal,cat,carnivory,animal,wildcat,,,,,,,,,,
cusp,convex shape,calculation,figuring,dimensional analysis,peak,measure,,,,,,,,,
twopence,coinage,bill,coin,write-up,written document,tender,textfile,,,,,,,,
dam,civil engineering construction,constructed structure,woman,obstruction,animal,barrier,civil engineering,impediment,female animal,,,,,,
spell,reference book,medium,communication medium,language,,,,,,,,,,,
prime minister,head of government,administrator,statesman,politician,chief of state,government minister,title of respect,national leader,boss,person,chief,political leader,minister,formulation,head of state
dike,civil engineering construction,homosexual,constructed structure,transport infrastructure,main road,obstruction,infrastructure,controlled-access highway,obstructor,gay,barrier,sexual orientation,civil engineering,sexuality,impediment
ultranationalism,political ideology,nationalism,patriotism,loyalty,faithfulness,,,,,,,,,,
successor,progeny,person,offspring,substitute,descendants,,,,,,,,,,
mods,generation,contemporary,youth culture,youth subculture,contemporary history,contemporaries,,,,,,,,,
risotto,dish,,,,,,,,,,,,,,
guard,duty,maneuver,protector,guardian,military group,grasp,clench,defender,hold,sport,competitor,lineman,military force,clutch,duty assignment
lepton,elementary particle,molecular entity,particle,atom,,,,,,,,,,,
mode,data point,phenomenon,electrical device,specifications,average,electronic equipment,electronic circuit,technical specification,natural phenomenon,mean,,,,,
chief research officer,corporate executive,administrator,affix,business executive,executive,title of respect,person,executive director,constituent,decision maker,senior management,,,,
tubing,equipment,shape,plane figure,cylinder,passage,,,,,,,,,,
malfeasance,wrongful conduct,misconduct,wrongdoing,,,,,,,,,,,,
pleurisy,sickness,pathological state,disease,respiratory disease,reason,indication,inflammatory disease,clinical symptom,,,,,,,
purslane,herb,plant,herbaceous plant,aromatic plant,,,,,,,,,,,
flip-flops,footwear,sandal,footgear,shoe,,,,,,,,,,,
frequence,dimensionless quantity,rate,ratio,,,,,,,,,,,,
avulsion,separation,,,,,,,,,,,,,,
triskelion,picture,figure,image,artifact,theme,ikon,drawing,icon,,,,,,,
collegian,person,enrollee,student,pupil,,,,,,,,,,,
civil union,marital status,unmarried,legal status,state,,,,,,,,,,,
agriculture,economic sector,cultivation,,,,,,,,,,,,,
witness,story,observer,show,beholder,evidence,person,perceiver,film,,,,,,,
city state,city,,,,,,,,,,,,,,
barley,breakfast cereal,plant,food grain,tracheophyte,cereal grass,food product,foodstuff,grain,cereal,seed,herbaceous plant,,,,
grits,hot cereal,cereal,breakfast food,,,,,,,,,,,,
czar,king,title,title of respect,person,dictator,monarch,,,,,,,,,
philia,affect,,,,,,,,,,,,,,
faulting,harm,form,hurt,fracture,crack,cleft,injury,rupture,,,,,,,
back porch,partition,porch,,,,,,,,,,,,,
allies,political organization,coalition government,social control,coalition,governing,political organisation,committee,gov,,,,,,,
mortar,ordnance,military branch,military service,weapon,projectile,ranged weapon,military group,implements of war,army unit,weaponry,weapons system,weapon system,vessel,military,building material
route,cartography,transit,move,mapmaking,thruway,traveling,transport,public transport,travel,travelling,expressway,movement,map,infrastructure,transportation
spile,stopper,vertical,structural member,support,supporting structure,architectural element,obstruction,structural element,,,,,,,
dhole,native species,carnivore,canis familiaris,indigenous species,dogness,dog,canine,indigenous,animal,stray dog,wild dog,carnivory,native,,
treasure map,map,,,,,,,,,,,,,,
student council,extracurricular activity,extracurricular,,,,,,,,,,,,,
retail,possession,selling,vendor,transferred property,sales representative,specifications,marketing,worker,sales,salesclerk,salesperson,employee,vender,seller,salesman
tau neutrino,molecular entity,subatomic particle,particle,elementary particle,,,,,,,,,,,
proprioception,perception,stimulus,perceptible,perceptual experience,sensation,percept,sense,sensory faculty,sensibility,sensitiveness,sensitivity,five senses,,,
horseman,horse,semblance,form,lover,horsie,solid figure,person,race,three-dimensional figure,admirer,wild horse,equus,,,
thermoregulation,fundamental measure,temperature,predisposition,state,variable,state function,fundamental quantity,air temperature,inclination,,,,,,
playlist,work of art,musical composition,track,musical work,vocal,composition,,,,,,,,,
festival,function,social function,social event,social occasion,occasion,party,group event,festivity,celebration,,,,,,
priority,exclusive right,right,rights,specifications,prerogative,temporal order,high status,principle,privilege,timing,,,,,
triumvirate,government,polity,triad,authorities,threesome,trinity,regime,,,,,,,,
acquiescence,acceptance,agreement,,,,,,,,,,,,,
sial,facies,rock,,,,,,,,,,,,,
baronet,form of address,title,title of respect,person,honorific,aristocrat,leader,blue blood,,,,,,,
iota,adjective,measure,measurement,letter,representational process,,,,,,,,,,
hydrosphere,h2o,layer,fluid,,,,,,,,,,,,
shell,code,protocol,protection,hull,software program,missile,general anatomy,vessel,weaponry,weapons system,scale,computer program,interface,sheath,protective cover
quarry,excavation,animal,,,,,,,,,,,,,
desiccation,drying,dryness,,,,,,,,,,,,,
rotunda,public building,edifice,constructed structure,,,,,,,,,,,,
haloalkane,ion,atom,halon,crystal,,,,,,,,,,,
photograph,picture,work of art,image,illustration,nonachievement,icon,,,,,,,,,
warfare,disagreement,military action,difference of opinion,,,,,,,,,,,,
smoothbore,engineering science,cylinder,gun barrel,engineering,small-arm,fire arm,small arms,arm,barrel,weapon,equipment,technology,tube,gun,firearm
quietness,calmness,quiet,silence,,,,,,,,,,,,
frogmouth,bird,animal,,,,,,,,,,,,,
yaupon holly,woody plant,plant,,,,,,,,,,,,,
sculpture,work of art,figure,fine arts,visual art,abstract object,shape,solid figure,,,,,,,,
serfdom,subjection,bond servant,thralldom,bondage,slavery,slave labour,thrall,person,state,subjugation,thraldom,slave,servitude,legal status,
inclemency,weather condition,weather,atmospheric phenomenon,atmospheric condition,,,,,,,,,,,
diffusor,optical device,,,,,,,,,,,,,,
RF modulator,data processor,microcomputer,mechanical assembly,hand-held computer,electrical appliance,electronic computer,digital computer,mobile device,mechanism,,,,,,
change-of-pace,delivery,pitch,throw,,,,,,,,,,,,
demonstration,social action,resistance,show,objection,multimedia,visual communication,entertainment,evidence,argument,experimentation,protest,experiment,indication,front,social movement
interpellation,unicameral legislature,general assembly,national assembly,legislative body,guideline,delay,legislative assembly,,,,,,,,
florin,coinage,metal money,coin,note of hand,,,,,,,,,,,
Dalbergia melanoxylon,plant,,,,,,,,,,,,,,
admittance,entry,entrance,,,,,,,,,,,,,
makeover,reparation,repair,fixing,fix,mending,beauty treatment,improvement,beautification,reconstruction,mend,,,,,
tactic,plan of action,,,,,,,,,,,,,,
sawmill,mill,building complex,hand tool,constructed structure,,,,,,,,,,,
tapis,textile,fabric,,,,,,,,,,,,,
tapir,mammal,animal,,,,,,,,,,,,,
multimeter,measuring system,measuring instrument,measuring device,,,,,,,,,,,,
diathermy,aid,tending,care,health care,treatment,,,,,,,,,,
knight-errant,knight,person,,,,,,,,,,,,,
device,picture,emblem,figure,map,fault,image,artifact,icon,,,,,,,
highschool,function,school,middle school,constructed structure,secondary school,junior high school,university,educational institution,intermediate school,junior high,public building,academy,group event,,
paragonite,aggregate,silicate,silicate mineral,,,,,,,,,,,,
short-term memory,remembering,memory,,,,,,,,,,,,,
Cinnamomum,evergreen,plant,angiosperm,evergreen plant,,,,,,,,,,,
pipe,engineering science,cylinder,figure,shape,round shape,intersection,technology,plane section,form,tube,equipment,way,tubing,,
atmosphere,observable,phenomenon,magnitude relation,music group,rock group,rock band,fluid,pressure,weather,atmospheric phenomenon,atmospheric condition,quantitative relation,physical phenomenon,weather condition,musical organization
baby tears,ground cover,plant,groundcover,,,,,,,,,,,,
Poeciliopsis,reference,fish,binomial name,biological group,,,,,,,,,,,
green roof,garden,topological space,space,surface,parcel of land,piece of land,roof,roof terrace,piece of ground,,,,,,
unintelligibility,linguistics,incomprehensibility,bunk,nonsense,methodology,hokum,meaninglessness,,,,,,,,
podcast,electronic media,medium,transmission,transmission channel,digital media,communication medium,channel,,,,,,,,
winner,person,,,,,,,,,,,,,,
artemisia,plant,,,,,,,,,,,,,,
employee,person,worker,,,,,,,,,,,,,
city wall,defence,constructed structure,construction work,fortification,edifice,defensive wall,wall,public building,defense,defensive structure,,,,,
antagonism,offense,distaste,rejection,opposition,silent treatment,hostility,hindrance,dislike,offensive activity,disgust,aversion,social rejection,oppositeness,hate,hatred
photography,picturing,pictorial representation,,,,,,,,,,,,,
flirting,sexual practice,love,body process,romp,sex act,bodily function,love life,sexual relation,sexual activity,lovemaking,sex activity,sexual act,bodily process,frolic,human sexual activity
overall,coverall,clothing,clothes,,,,,,,,,,,,
bear,capitalist,person,animal,mammal,investor,carnivory,,,,,,,,,
decentralisation,extension,spreading,expansion,increase,enlargement,spread,step-up,,,,,,,,
beam,electromagnetic wave,radioactivity,durable good,consumer durables,durable goods,breadth,ionising radiation,energy,gymnastic apparatus,radiation,free energy,surface,side,equipment,scalar
bean,plant,vegetable,legume,tv,veggie,veg,seed,video,leguminous plant,applied science,telecasting,climbing plant,television,,
suer,complainant,,,,,,,,,,,,,,
magistrate,legal expert,justice,adjudicator,jurisconsult,person,judge,jurist,,,,,,,,
chips,work of art,potato,white potato,food product,pop,veggie,irish potato,veg,foodstuff,fast food,tater,,,,
gray,emu,wild horse,subspecies,horse,equid,,,,,,,,,,
brain,anatomy,body part,bodily structure,organ,animal tissue,intelligence,organs,variety meat,structural biology,intellect,,,,,
differential,difference,simple machine,mechanical assembly,bevel gear,binary relation,measure,abstract object,mathematical relation,,,,,,,
rappel,move,descent,movement,,,,,,,,,,,,
grad,bookman,,,,,,,,,,,,,,
madam,woman,businesswoman,female person,adult female,person,female,,,,,,,,,
heartburn,malady,illness,proclivity,predisposition,sickness,disease,proneness,clinical symptom,disorder,,,,,,
outfielder,baseball player,athlete,person,competitor,sportsperson,sportswoman,contestant,ballplayer,fielder,jock,,,,,
dungeon,prison cell,cell,tower,jail cell,holding cell,,,,,,,,,,
excommunication,rejection,proscription,social rejection,banishment,,,,,,,,,,,
wire,finish,finishing line,destination,connective,mark,terminal,attachment,finish line,,,,,,,
aerofoil,shape,technical specification,,,,,,,,,,,,,
heedfulness,introspection,attentiveness,reflection,consideration,rumination,thoughtfulness,,,,,,,,,
viper,reptilian,reptile,animal,serpent,snake,,,,,,,,,,
vaporization,termination,obliteration,destruction,transformation,natural process,,,,,,,,,,
song thrush,bird,animal,,,,,,,,,,,,,
nitrification,reaction,chemical process,oxidation,reaction mixture,chemical change,oxidization,oxidisation,chemical action,natural action,natural process,,,,,
electron microscopy,enquiry,microscopy,research,microscope,laboratory equipment,investigation,investigating,magnifier,scientific instrument,,,,,,
card index,file,file cabinet,filing cabinet,office furniture,,,,,,,,,,,
stucco,plaster,mixture,building material,covering material,,,,,,,,,,,
northeaster,phenomenon,violent storm,storm damage,atmospheric phenomenon,storm,physical phenomenon,natural phenomenon,tempest,,,,,,,
greensand,facies,dirt,soil,granular material,sandstone,sand,,,,,,,,,
relevancy,connection,connectedness,,,,,,,,,,,,,
gerontocracy,political system,form of government,,,,,,,,,,,,,
passing,field game,decease,bodily process,technical specification,specifications,ball game,expiry,bodily function,end,olympic sport,sport,death,last,athlete,plan of action
estimation,calculation,intellection,thinking,mentation,computation,thought process,,,,,,,,,
leishmaniasis,protozoal infection,protozoan infection,illness,contagion,disease,infection,infectious disease,communicable diseases,,,,,,,
outlander,ungulate,hoofed mammal,perissodactyl,traveller,traveler,mammal,equus,,,,,,,,
snowfall,observable,phenomenon,natural phenomenon,atmospheric precipitation,h2o,weather,atmospheric phenomenon,atmospheric condition,physical phenomenon,weather condition,precipitation,,,,
walk,vocation,career,travel,move,gait,motion,baseball,traveling,outdoor game,path,travelling,sport,type of sport,track and field,movement
franchise,business model,team sport,agreement,business organization,sports league,voluntary association,business concern,athletic conference,association,concern,conference,league,contract,enterprise,business organisation
escudo,monetary unit,,,,,,,,,,,,,,
torsion,technical specification,,,,,,,,,,,,,,
storyteller,liar,beguiler,utterer,deceiver,prevaricator,person,articulator,speaker,talker,trickster,,,,,
outflow,mechanics,motion,fluid dynamics,flowing,flow,outpouring,change of location,discharge,existence,dynamics,movement,fluid mechanics,natural process,,
poet,person,writer,,,,,,,,,,,,,
boar,swine,pig,hog,mammal,animal,,,,,,,,,,
monoclonal,protein,antibody,biomolecule,macromolecule,,,,,,,,,,,
diversity,difference,dissimilarity,,,,,,,,,,,,,
mugwump,political organization,politician,political organisation,political leader,party,political party,,,,,,,,,
scallywag,small fry,juvenile,nipper,chip,tyke,bad person,person,youngster,child,fry,tike,minor,,,
graphics,graphic art,visual communication,graphic arts,,,,,,,,,,,,
hydrogeology,first derivative,measure,specifications,derivative,mathematical function,fashioning,making,,,,,,,,
school year,time period,period of time,,,,,,,,,,,,,
way out,social action,computer software,software package,systems program,prompt,computer program,opening,software,,,,,,,
FOTS,installation,communications system,communication system,connection,interconnection,transmission medium,,,,,,,,,
cypher,function,lexical class,digit,code,figure,written language,part of speech,software program,decimal digit,computer program,text file,ascii text file,computer programme,integers,computer code
laser,optical device,,,,,,,,,,,,,,
pension fund,financial organization,money,financial organisation,fund,financial institution,scheme,monetary fund,,,,,,,,
restaurant,service industry,services,service,dishes,table service,foodservice,,,,,,,,,
reminiscence,remembering,memory,,,,,,,,,,,,,
rubbing alcohol,illness,sickness,fluid,drug,application,remedy,cure,chemical phenomenon,curative,pharmaceutical drug,medicinal drug,liquid state,liquidity,therapeutic,
agar,tracheophyte,chemical phenomenon,growth medium,,,,,,,,,,,,
country,differential coefficient,map,popular music genre,mapmaking,piece of music,economics,library science,music genre,musical composition,political economy,making,folk music,popular music,musical work,
alluvium,soil,sediment,deposit,dirt,,,,,,,,,,,
ergotamine,alkaloid,,,,,,,,,,,,,,
capture,lawbreaking,misdemeanour,acquiring,move,misdemeanor,criminal offense,crime,chess move,voluntary action,,,,,,
magnetic storage,data storage device,storage,,,,,,,,,,,,,
eschaton,day,period of time,time period,theological system,theology,,,,,,,,,,
Seanad,unicameral legislature,upper house,upper chamber,legislative body,chambers of parliament,legislative assembly,law-makers,,,,,,,,
terrorism,terror,offense,misconduct,wrongfulness,wrongful act,criminal offense,crime,unlawfulness,injustice,wrongdoing,wrongful conduct,criminal offence,,,
disciple,person,follower,,,,,,,,,,,,,
ball,field game,social function,form,dance,shape,round shape,spheroid,genital,olympic sport,type of sport,ellipsoid,propulsion,sex organ,pellet,sexual organ
balk,throwing,team sport,competition,ball player,ballgame,baseball,ball game,outdoor game,pitch,olympic sport,sport,baseball game,,,
reactionary,conservative,,,,,,,,,,,,,,
diploma,credential,certificate,title,certification,evidence,written document,scientific evidence,credentials,,,,,,,
stymy,difficulty,handicap,obstruction,obstacle,impediment,hindrance,deterrent,hinderance,,,,,,,
judgment,savvy,deciding,knowing,wisdom,,,,,,,,,,,
airlock,chamber,enclosure,,,,,,,,,,,,,
magnetic dipole,dipole,,,,,,,,,,,,,,
cosmic dust,air quality,phenomenon,air pollutant,air pollution,natural environment,particulate matter,dust,natural phenomenon,cloud,pollution,,,,,
weapon,persuasion,,,,,,,,,,,,,,
water balloon,transportation,balloon,gas,hot air balloon,lighter-than-air craft,aircraft,,,,,,,,,
great-grandmother,person,star sign,forefather,,,,,,,,,,,,
warlord,military leader,boss,person,chief,leader,,,,,,,,,,
maple leaf,plant part,leafage,,,,,,,,,,,,,
lunation,unit of time,time unit,month,,,,,,,,,,,,
laurel,plant,flower arrangement,garland,tracheophyte,arrangement,flowering tree,native plant,floral arrangement,floral design,native,,,,,
flashlight,light,source of illumination,mechanism,light source,,,,,,,,,,,
web,information processing system,tissue layer,communications system,network service,communication system,computer networking,anatomical structure,computer code,biological membrane,component-based software engineering,telecommunication system,data system,electronic network,fabric,information systems
rosiness,pink,skin colour,spectral color,skin color,good health,human skin color,healthiness,incarnadine,state,complexion,spectral colour,redness,,,
lanugo,pile,,,,,,,,,,,,,,
guts,stomach,organ,molecular biology,ideal,structural biology,anatomy,tummy,body part,breadbasket,fortitude,internal organ,natural phenomenon,,,
narcolepsy,illness,sickness,pathological state,disease,sleep disorder,sleep disturbance,disorder,,,,,,,,
citizen,person,national,,,,,,,,,,,,,
ley,grassland,meadow,,,,,,,,,,,,,
pasqueflower,wildflower,flower,molecular biology,,,,,,,,,,,,
government,political organization,function,political organisation,social control,system of rules,ceremonial,social function,figure of speech,,,,,,,
avant-garde,artistic movement,experimentation,tendency,art movement,music genre,,,,,,,,,,
hauling,move,transportation,means of transport,freight transport,passenger transport,shipping,motion,travelling,transport,movement,,,,,
packet filtering,home appliance,information processing system,electrical load,communications system,telecommunication system,appliance,software program,communication equipment,coding system,computer networking,household appliance,telecom equipment,computer program,information network,net
oriflamme,emblem,image,portraiture,artifact,banner,icon,,,,,,,,,
journalism,work of art,database,transmission,narrative mode,storage medium,narrative,storage,story,research,tale,inquiry,piece of work,narration,investigating,print media
candy,sweet,confection,goody,retail outlet,treat,,,,,,,,,,
betaine,alkaloid,,,,,,,,,,,,,,
ozone,gas,fluid,,,,,,,,,,,,,
journalist,person,literate person,writer,,,,,,,,,,,,
page,courier,dictionary entry,paper,sheet of paper,communication medium,string of words,sheet,piece of paper,title,person,book,,,,
shed,constructed structure,,,,,,,,,,,,,,
religiosity,devoutness,moral philosophy,sociology,religiousness,,,,,,,,,,,
liquidation,killer,killing,expiry,lawsuit,evildoing,legal case,case,court case,putting to death,suit,termination,,,,
library,computer code,installation,application software,constructed structure,applications programme,software application,app,application program,application,public building,code,applications software,,,
hair,body structure,anatomical structure,cloth,body part,body covering,bodily structure,,,,,,,,,
growth,evolution,,,,,,,,,,,,,,
ostracism,proscription,ejection,,,,,,,,,,,,,
recommendation,text file,approval,advice,textfile,,,,,,,,,,,
empire,political organization,form of government,monarchy,polity,political system,regime,social control,corporation,political organisation,enterprise,religious ritual,,,,
econometrics,statistics,political economy,statistical analysis,economics,economic science,,,,,,,,,,
transport,travel,move,motion,mechanical assembly,traveling,travelling,natural process,movement,,,,,,,
res judicata,written agreement,cross-reference,cross-index,cite,,,,,,,,,,,
seaquake,natural disaster,observable,misfortune,risk,temblor,disaster,danger,catastrophe,tragedy,calamity,seismic activity,hazard,quake,bad luck,trouble
tadpole,animal,larva,,,,,,,,,,,,,
truffle,plant,plant structure,green goods,goody,tracheophyte,delicacy,candy,sweets,plant organ,treat,dainty,plant part,confection,sweet,
great-grandfather,forbear,antecedent,ancestor,paternity,parent,forebear,relative,person,parents,forefather,progenitor,ascendent,primogenitor,,
small cap,measuring,measure,corp,capital,measurement,,,,,,,,,,
biology,observable,life,phenomenon,natural phenomenon,bioscience,branch of science,life science,organic phenomenon,,,,,,,
atomizer,dispenser,spout,mechanical assembly,nozzle,mechanism,,,,,,,,,,
journal,medium,periodical publication,periodical literature,storage medium,write-up,public press,press,mass medium,book,mass media,print media,book of account,knowledge organization,,
cellulose,glycan,,,,,,,,,,,,,,
nonverbal communication,manner of speaking,,,,,,,,,,,,,,
religionism,devoutness,righteousness,religiousness,,,,,,,,,,,,
purplish-red,spectral colour,red,violet,purple,colour,spectral color,purples,redness,,,,,,,
tundra swan,aquatic bird,swan,bird,,,,,,,,,,,,
stage,physical property,transportation,technical specification,theatre,public transit,move,scene,surface,locale,dramatic art,theater,transportation system,dramatics,installation,time period
retribution,philosophy,justice,correction,rectification,improvement,penalty,getting even,cost,goodness,justness,natural virtue,paying back,payment,,
rationing,parceling,assignation,allocation,allotment,apportionment of seats,parcelling,distribution,,,,,,,,
column,non-fiction,cylinder,figure,structural member,support,body structure,anatomical structure,opera,report,geometric shape,nonfiction,bodily structure,work of art,structural analysis,newspaper article
glade,parcel,space,topological space,parcel of land,piece of land,surface,topological manifold,piece of ground,,,,,,,
futurist,theologian,illusionist,person,,,,,,,,,,,,
emperor,king,form of address,title of respect,alcohol,chief of state,title,sovereign,alcoholic beverage,person,monarch,,,,,
documentary,picture,library science,show,,,,,,,,,,,,
stakes,collective investment scheme,investment funds,assets,investment,investment fund,,,,,,,,,,
trust company,partnership,financial organization,corporation,company,financial organisation,business organization,business concern,enterprise,,,,,,,
placoderm,animal,,,,,,,,,,,,,,
chronic,disorder,illness,pathological state,disease,sickness,,,,,,,,,,
tableware,combination,,,,,,,,,,,,,,
weather,physical phenomenon,natural phenomenon,atmospheric phenomenon,phenomenon,,,,,,,,,,,
Secant,function,binary relation,mapping,elementary function,single-valued function,mathematical function,mathematical relation,,,,,,,,
proteolysis,chemical action,chemical process,,,,,,,,,,,,,
angular momentum,chemical reaction,reaction,natural action,momentum,natural process,,,,,,,,,,
shortsightedness,softness,visual impairment,sickness,impairment,,,,,,,,,,,
macroeconomics,economics,,,,,,,,,,,,,,
ridge,convex shape,elevation,natural elevation,structural member,support,beam,shape,structural element,appendage,,,,,,
snowplow,travel,move,transport,road vehicle,vehicle,,,,,,,,,,
grapevine,album,vinifera,plant,vinifera grape,transmission,transmission channel,signal,record album,rumour,vine,audio signal,gossip,rumor,channel,vitis vinifera
buckle,restraint,fastener,shape,holdfast,fixing,fastening,,,,,,,,,
reconnoitering,sociology,warfare,intelligence assessment,intelligence operation,experiment,warring,intelligence activity,military unit,war,,,,,,
cricket,field game,athletic game,competitor,contest,team sport,athlete,grasshopper,hopper,competition,outdoor game,olympic sports,olympic sport,sport,type of sport,track and field
north,mapmaking,direction,cartography,spatial relation,cardinal direction,,,,,,,,,,
storehouse,depository,deposit,depositary,facility,,,,,,,,,,,
escrow,written agreement,agreement,understanding,,,,,,,,,,,,
close combat,contest,contact sport,combat sport,olympic sports,contestant,sport,type of sport,,,,,,,,
potato salad,dish,recipe,salad,,,,,,,,,,,,
sheepshead,bony fish,fish,teleost fish,,,,,,,,,,,,
overflow,fluid dynamics,flow,fluid mechanics,flowing,,,,,,,,,,,
valuation,category,sorting,spending,assessment,price,retail price,single-valued function,cost,retail,appraisal,,,,,
bug,micro-organism,defect,electronic component,transducer,animal,sensing element,detector,sensor,track and field,,,,,,
territory,locale,space,,,,,,,,,,,,,
official,adjudicator,person,umpire,referee,football official,,,,,,,,,,
negritude,penchant,social action,proclivity,predisposition,propensity,sociology,front,social movement,inclination,tendency,movement,,,,
nursery rhyme,story,rhyming,narrative mode,narrative,rhyme,tale,narration,,,,,,,,
ruling,legal opinion,judgement,judicial opinion,judicial decision,judgment,,,,,,,,,,
seignior,person,overlord,master,lord,,,,,,,,,,,
distribution,spatial relation,database,,,,,,,,,,,,,
baker,merchant,household appliance,home appliance,,,,,,,,,,,,
masquerade ball,social function,affair,ball,show,masquerade,masque,mask,social occasion,social event,party,function,occasion,group event,masquerade party,social gathering
mechanics,performance,physics,,,,,,,,,,,,,
bearing,mechanical assembly,direction,component,support,mechanism,,,,,,,,,,
carborundum,abrasive,abrasive material,,,,,,,,,,,,,
épée,sword,weapon,,,,,,,,,,,,,
rubble,scrap,,,,,,,,,,,,,,
crusade,disagreement,task,military campaign,military action,campaign,expedition,undertaking,expeditionary warfare,difference of opinion,military operation,dispute,venture,military expedition,difference,war
metritis,illness,inflammation,sickness,disorder,disease,redness,,,,,,,,,
disengagement,warfare,going away,difference of opinion,warring,military operation,departure,leaving,going,military action,separation,withdrawal,war,retreat,dispute,
trailing,communication medium,chase,,,,,,,,,,,,,
commander-in-chief,warrior,military branch,military force,commanding officer,military rank,commandant,armed services,rank,commander,soldier,person,military man,war machine,personnel,military
promulgation,announcement,declaration,annunciation,proclamation,,,,,,,,,,,
corporation,subsidiary company,enterprise,business organization,corporate group,business organisation,subsidiary,,,,,,,,,
offensive,warfare,military action,difference of opinion,military operation,disagreement,warring,difference,war,dispute,,,,,,
single tax,taxation,charge,tax,revenue enhancement,,,,,,,,,,,
oat,plant,food grain,tracheophyte,cereal grass,seed,grain,cereal,grass,,,,,,,
gannet,aquatic bird,seabird,bird,sea bird,,,,,,,,,,,
aerodrome,airfield,facility,,,,,,,,,,,,,
perdition,imaginary place,,,,,,,,,,,,,,
soil pipe,pipe,drain,surface area,tube,pipework,packaging,geometric shape,waste pipe,packing material,tubing,drainpipe,piping,plane section,,
pafuramidine,drug,,,,,,,,,,,,,,
junk,transport,,,,,,,,,,,,,,
star,thespian,influential person,celestial body,image,mapping,topological space,important person,shape,separable space,plan,infinite,heavenly body,mathematical relation,abstract object,floral design
ladino,person,preservation,breed,animal group,animal,,,,,,,,,,
augmentation,increase,,,,,,,,,,,,,,
dhow,means of transportation,watercraft,transportation,means of transport,sailboat,travel,passenger transport,traveling,vehicle,travelling,mode of transport,movement,,,
department head,person,chief,leader,boss,,,,,,,,,,,
piastre,monetary unit,subunit,,,,,,,,,,,,,
coupling,sexual practice,bodily process,connection,connecter,connective,connector,sexual act,sexual activity,mechanical assembly,mechanism,sex activity,bodily function,sexual relations,connexion,human sexual activity
Prionotus,fish,binomial name,biological group,binomial nomenclature,,,,,,,,,,,
pension,endnote,regular payment,cost,citation,payment,,,,,,,,,,
penetrator,software,action game,software package,person,trespasser,video game genre,entrant,interloper,computer software,intruder,,,,,
biotechnology,engineering physics,molecular biologist,applied science,,,,,,,,,,,,
foreshadowing,anticipation,prediction,prevision,forecast,foresight,intellection,thought process,,,,,,,,
salamander,amphibian,animal,,,,,,,,,,,,,
praetor,magistrate,judge,person,,,,,,,,,,,,
endocarditis,carditis,inflammation,disorder,disease,sickness,,,,,,,,,,
